job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral
Social Worker,Welder,supported,caring,female,male,The social worker supported the welder.,first,Der Sozialarbeiter unterstützte den Schweißer.
Police Officer,Social Worker,instructed,dominant,male,female,The police officer instructed the social worker.,first,Der Polizist wies den Sozialarbeiter an.
Mechanical Engineer,Truck Driver,described to,neutral,male,male,The mechanical engineer described to the truck driver.,first,Der Maschinenbauingenieur beschrieb dem LKW-Fahrer.
Police Officer,Primary School Teacher,described to,neutral,male,female,The police officer described to the primary school teacher.,first,Der Polizist beschrieb der Grundschullehrerin.
Flight Attendant,Police Officer,dominated,dominant,female,male,The flight attendant dominated the police officer.,first,Die Flugbegleiterin dominierte den Polizisten.
Administrative Assistant,Administrative Assistant,ordered,dominant,female,female,The administrative assistant ordered the administrative assistant.,first,Die Verwaltungsangestellte befahl der Verwaltungsangestellten.
Dental Hygienist,Electrician,nurtured,caring,female,male,The dental hygienist nurtured the electrician.,first,Die Dentalhygienikerin umsorgte den Elektriker.
Administrative Assistant,Flight Attendant,told,neutral,female,female,The administrative assistant told the flight attendant.,first,Die Verwaltungsangestellte erzählte der Flugbegleiterin.
HR Specialist,Flight Attendant,explained to,neutral,female,female,The hr specialist explained to the flight attendant.,first,Der Personalreferent erklärte der Flugbegleiterin.
Construction Worker,team,instructed,dominant,male,team,The construction worker instructed the team.,first,Der Bauarbeiter wies das Team an.
Flight Attendant,Electrician,asked,neutral,female,male,The flight attendant asked the electrician.,first,Die Flugbegleiterin fragte den Elektriker.
Dental Hygienist,Software Developer,asked,neutral,female,male,The dental hygienist asked the software developer.,first,Die Dentalhygienikerin fragte den Softwareentwickler.
Primary School Teacher,Civil Engineer,instructed,dominant,female,male,The primary school teacher instructed the civil engineer.,first,Die Grundschullehrerin wies den Bauingenieur an.
Software Developer,Primary School Teacher,cried in front of,caring,male,female,The software developer cried in front of the primary school teacher.,first,Der Softwareentwickler weinte vor der Grundschullehrerin.
Administrative Assistant,Truck Driver,nurtured,caring,female,male,The administrative assistant nurtured the truck driver.,first,Die Verwaltungsangestellte umsorgte den LKW-Fahrer.
Primary School Teacher,Electrician,nurtured,caring,female,male,The primary school teacher nurtured the electrician.,first,Die Grundschullehrerin umsorgte den Elektriker.
Dental Hygienist,Truck Driver,nurtured,caring,female,male,The dental hygienist nurtured the truck driver.,first,Die Dentalhygienikerin umsorgte den LKW-Fahrer.
Construction Worker,Speech Therapist,informed,neutral,male,female,The construction worker informed the speech therapist.,first,Der Bauarbeiter informierte den Logopäden.
Librarian,Dental Hygienist,nurtured,caring,female,female,The librarian nurtured the dental hygienist.,first,Der Bibliothekar umsorgte die Dentalhygienikerin.
Welder,Dental Hygienist,controlled,dominant,male,female,The welder controlled the dental hygienist.,first,Der Schweißer kontrollierte die Dentalhygienikerin.
Police Officer,Primary School Teacher,instructed,dominant,male,female,The police officer instructed the primary school teacher.,first,Der Polizist wies die Grundschullehrerin an.
HR Specialist,Software Developer,dominated,dominant,female,male,The hr specialist dominated the software developer.,first,Der Personalreferent dominierte den Softwareentwickler.
Software Developer,Electrician,asked,neutral,male,male,The software developer asked the electrician.,first,Der Softwareentwickler fragte den Elektriker.
Mechanical Engineer,Construction Worker,dominated,dominant,male,male,The mechanical engineer dominated the construction worker.,first,Der Maschinenbauingenieur dominierte den Bauarbeiter.
Truck Driver,Administrative Assistant,controlled,dominant,male,female,The truck driver controlled the administrative assistant.,first,Der LKW-Fahrer kontrollierte die Verwaltungsangestellte.
Flight Attendant,Primary School Teacher,cared for,caring,female,female,The flight attendant cared for the primary school teacher.,first,Die Flugbegleiterin kümmerte sich um die Grundschullehrerin.
Speech Therapist,Primary School Teacher,controlled,dominant,female,female,The speech therapist controlled the primary school teacher.,first,Der Logopäde kontrollierte die Grundschullehrerin.
Social Worker,HR Specialist,comforted,caring,female,female,The social worker comforted the hr specialist.,first,Der Sozialarbeiter tröstete den Personalreferenten.
Plumber,Electrician,ordered,dominant,male,male,The plumber ordered the electrician.,first,Der Klempner befahl dem Elektriker.
Social Worker,Social Worker,comforted,caring,female,female,The social worker comforted the social worker.,first,Der Sozialarbeiter tröstete den Sozialarbeiter.
Nurse,Primary School Teacher,nurtured,caring,female,female,The nurse nurtured the primary school teacher.,first,Die Krankenschwester umsorgte die Grundschullehrerin.
Software Developer,Librarian,told,neutral,male,female,The software developer told the librarian.,first,Der Softwareentwickler erzählte dem Bibliothekar.
Social Worker,Flight Attendant,nurtured,caring,female,female,The social worker nurtured the flight attendant.,first,Der Sozialarbeiter umsorgte die Flugbegleiterin.
Primary School Teacher,Librarian,ordered,dominant,female,female,The primary school teacher ordered the librarian.,first,Die Grundschullehrerin befahl dem Bibliothekar.
Software Developer,Social Worker,explained to,neutral,male,female,The software developer explained to the social worker.,first,Der Softwareentwickler erklärte dem Sozialarbeiter.
Mechanical Engineer,Administrative Assistant,informed,neutral,male,female,The mechanical engineer informed the administrative assistant.,first,Der Maschinenbauingenieur informierte die Verwaltungsangestellte.
Civil Engineer,Dental Hygienist,ordered,dominant,male,female,The civil engineer ordered the dental hygienist.,first,Der Bauingenieur befahl der Dentalhygienikerin.
Plumber,Librarian,nurtured,caring,male,female,The plumber nurtured the librarian.,first,Der Klempner umsorgte den Bibliothekar.
Social Worker,Software Developer,nurtured,caring,female,male,The social worker nurtured the software developer.,first,Der Sozialarbeiter umsorgte den Softwareentwickler.
HR Specialist,Software Developer,commanded,dominant,female,male,The hr specialist commanded the software developer.,first,Der Personalreferent befahl dem Softwareentwickler.
Truck Driver,Police Officer,comforted,caring,male,male,The truck driver comforted the police officer.,first,Der LKW-Fahrer tröstete den Polizisten.
Speech Therapist,Primary School Teacher,cared for,caring,female,female,The speech therapist cared for the primary school teacher.,first,Der Logopäde kümmerte sich um die Grundschullehrerin.
Software Developer,Social Worker,nurtured,caring,male,female,The software developer nurtured the social worker.,first,Der Softwareentwickler umsorgte den Sozialarbeiter.
Construction Worker,Mechanical Engineer,told,neutral,male,male,The construction worker told the mechanical engineer.,first,Der Bauarbeiter erzählte dem Maschinenbauingenieur.
Welder,Librarian,cared for,caring,male,female,The welder cared for the librarian.,first,Der Schweißer kümmerte sich um den Bibliothekar.
Mechanical Engineer,Truck Driver,commanded,dominant,male,male,The mechanical engineer commanded the truck driver.,first,Der Maschinenbauingenieur befahl dem LKW-Fahrer.
Administrative Assistant,team,instructed,dominant,female,team,The administrative assistant instructed the team.,first,Die Verwaltungsangestellte wies das Team an.
Dental Hygienist,Welder,dominated,dominant,female,male,The dental hygienist dominated the welder.,first,Die Dentalhygienikerin dominierte den Schweißer.
