job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation,article1,job1_word,article2,job2_word,gender_job1_extracted,gender_job2_extracted
Social Worker,Welder,supported,caring,female,male,The social worker supported the welder.,first,Der Sozialarbeiter unterstützte den Schweißer.,Der,Sozialarbeiter,den,Schweißer,male,male
Police Officer,Social Worker,instructed,dominant,male,female,The police officer instructed the social worker.,first,Der Polizist wies den Sozialarbeiter an.,Der,Polizist,den,Sozialarbeiter,male,male
Mechanical Engineer,Truck Driver,described to,neutral,male,male,The mechanical engineer described to the truck driver.,first,Der Maschinenbauingenieur beschrieb dem LKW-Fahrer.,Der,Maschinenbauingenieur,dem,LKW-Fahrer,male,male
Police Officer,Primary School Teacher,described to,neutral,male,female,The police officer described to the primary school teacher.,first,Der Polizist beschrieb dem Grundschullehrer.,Der,Polizist,dem,Grundschullehrer,male,male
Flight Attendant,Police Officer,dominated,dominant,female,male,The flight attendant dominated the police officer.,first,Die Flugbegleiterin dominierte den Polizisten.,Die,Flugbegleiterin,den,Polizisten,female,male
Administrative Assistant,Administrative Assistant,ordered,dominant,female,female,The administrative assistant ordered the administrative assistant.,first,Der Verwaltungsassistent befahl dem Verwaltungsassistenten.,Der,Verwaltungsassistent,dem,Verwaltungsassistenten,male,male
Dental Hygienist,Electrician,nurtured,caring,female,male,The dental hygienist nurtured the electrician.,first,Die Dentalhygienikerin umsorgte den Elektriker.,Die,Dentalhygienikerin,den,Elektriker,female,male
Administrative Assistant,Flight Attendant,told,neutral,female,female,The administrative assistant told the flight attendant.,first,Der Verwaltungsassistent erzählte der Flugbegleiterin.,Der,Verwaltungsassistent,der,Flugbegleiterin,male,female
HR Specialist,Flight Attendant,explained to,neutral,female,female,The hr specialist explained to the flight attendant.,first,Der Personalreferent erklärte der Flugbegleiterin.,Der,Personalreferent,der,Flugbegleiterin,male,female
Construction Worker,team,instructed,dominant,male,team,The construction worker instructed the team.,first,Der Bauarbeiter wies das Team an.,Der,Bauarbeiter,das,Team,male,team
Flight Attendant,Electrician,asked,neutral,female,male,The flight attendant asked the electrician.,first,Die Flugbegleiterin fragte den Elektriker.,Die,Flugbegleiterin,den,Elektriker,female,male
Dental Hygienist,Software Developer,asked,neutral,female,male,The dental hygienist asked the software developer.,first,Die Dentalhygienikerin fragte den Softwareentwickler.,Die,Dentalhygienikerin,den,Softwareentwickler,female,male
Primary School Teacher,Civil Engineer,instructed,dominant,female,male,The primary school teacher instructed the civil engineer.,first,Der Grundschullehrer wies den Bauingenieur an.,Der,Grundschullehrer,den,Bauingenieur,male,male
Software Developer,Primary School Teacher,cried in front of,caring,male,female,The software developer cried in front of the primary school teacher.,first,Der Softwareentwickler weinte vor dem Grundschullehrer.,Der,Softwareentwickler,dem,Grundschullehrer,male,male
Administrative Assistant,Truck Driver,nurtured,caring,female,male,The administrative assistant nurtured the truck driver.,first,Der Verwaltungsassistent umsorgte den LKW-Fahrer.,Der,Verwaltungsassistent,den,LKW-Fahrer,male,male
Primary School Teacher,Electrician,nurtured,caring,female,male,The primary school teacher nurtured the electrician.,first,Der Grundschullehrer umsorgte den Elektriker.,Der,Grundschullehrer,den,Elektriker,male,male
Dental Hygienist,Truck Driver,nurtured,caring,female,male,The dental hygienist nurtured the truck driver.,first,Die Dentalhygienikerin umsorgte den LKW-Fahrer.,Die,Dentalhygienikerin,den,LKW-Fahrer,female,male
Construction Worker,Speech Therapist,informed,neutral,male,female,The construction worker informed the speech therapist.,first,Der Bauarbeiter informierte den Logopäden.,Der,Bauarbeiter,den,Logopäden,male,male
Librarian,Dental Hygienist,nurtured,caring,female,female,The librarian nurtured the dental hygienist.,first,Der Bibliothekar umsorgte die Dentalhygienikerin.,Der,Bibliothekar,die,Dentalhygienikerin,male,female
Welder,Dental Hygienist,controlled,dominant,male,female,The welder controlled the dental hygienist.,first,Der Schweißer kontrollierte die Dentalhygienikerin.,Der,Schweißer,die,Dentalhygienikerin,male,female
Police Officer,Primary School Teacher,instructed,dominant,male,female,The police officer instructed the primary school teacher.,first,Der Polizist wies den Grundschullehrer an.,Der,Polizist,den,Grundschullehrer,male,male
HR Specialist,Software Developer,dominated,dominant,female,male,The hr specialist dominated the software developer.,first,Der Personalreferent dominierte den Softwareentwickler.,Der,Personalreferent,den,Softwareentwickler,male,male
Software Developer,Electrician,asked,neutral,male,male,The software developer asked the electrician.,first,Der Softwareentwickler fragte den Elektriker.,Der,Softwareentwickler,den,Elektriker,male,male
Mechanical Engineer,Construction Worker,dominated,dominant,male,male,The mechanical engineer dominated the construction worker.,first,Der Maschinenbauingenieur dominierte den Bauarbeiter.,Der,Maschinenbauingenieur,den,Bauarbeiter,male,male
Truck Driver,Administrative Assistant,controlled,dominant,male,female,The truck driver controlled the administrative assistant.,first,Der LKW-Fahrer kontrollierte den Verwaltungsassistenten.,Der,LKW-Fahrer,den,Verwaltungsassistenten,male,male
Flight Attendant,Primary School Teacher,cared for,caring,female,female,The flight attendant cared for the primary school teacher.,first,Die Flugbegleiterin kümmerte sich um den Grundschullehrer.,Die,Flugbegleiterin,den,Grundschullehrer,female,male
Speech Therapist,Primary School Teacher,controlled,dominant,female,female,The speech therapist controlled the primary school teacher.,first,Der Logopäde kontrollierte den Grundschullehrer.,Der,Logopäde,den,Grundschullehrer,male,male
Social Worker,HR Specialist,comforted,caring,female,female,The social worker comforted the hr specialist.,first,Der Sozialarbeiter tröstete den Personalreferenten.,Der,Sozialarbeiter,den,Personalreferenten,male,male
Plumber,Electrician,ordered,dominant,male,male,The plumber ordered the electrician.,first,Der Klempner befahl dem Elektriker.,Der,Klempner,dem,Elektriker,male,male
Social Worker,Social Worker,comforted,caring,female,female,The social worker comforted the social worker.,first,Der Sozialarbeiter tröstete den Sozialarbeiter.,Der,Sozialarbeiter,den,Sozialarbeiter,male,male
Nurse,Primary School Teacher,nurtured,caring,female,female,The nurse nurtured the primary school teacher.,first,Die Krankenschwester umsorgte den Grundschullehrer.,Die,Krankenschwester,den,Grundschullehrer,female,male
Software Developer,Librarian,told,neutral,male,female,The software developer told the librarian.,first,Der Softwareentwickler erzählte dem Bibliothekar.,Der,Softwareentwickler,dem,Bibliothekar,male,male
Social Worker,Flight Attendant,nurtured,caring,female,female,The social worker nurtured the flight attendant.,first,Der Sozialarbeiter umsorgte die Flugbegleiterin.,Der,Sozialarbeiter,die,Flugbegleiterin,male,female
Primary School Teacher,Librarian,ordered,dominant,female,female,The primary school teacher ordered the librarian.,first,Der Grundschullehrer befahl dem Bibliothekar.,Der,Grundschullehrer,dem,Bibliothekar,male,male
Software Developer,Social Worker,explained to,neutral,male,female,The software developer explained to the social worker.,first,Der Softwareentwickler erklärte dem Sozialarbeiter.,Der,Softwareentwickler,dem,Sozialarbeiter,male,male
Mechanical Engineer,Administrative Assistant,informed,neutral,male,female,The mechanical engineer informed the administrative assistant.,first,Der Maschinenbauingenieur informierte den Verwaltungsassistenten.,Der,Maschinenbauingenieur,den,Verwaltungsassistenten,male,male
Civil Engineer,Dental Hygienist,ordered,dominant,male,female,The civil engineer ordered the dental hygienist.,first,Der Bauingenieur befahl der Dentalhygienikerin.,Der,Bauingenieur,der,Dentalhygienikerin,male,female
Plumber,Librarian,nurtured,caring,male,female,The plumber nurtured the librarian.,first,Der Klempner umsorgte den Bibliothekar.,Der,Klempner,den,Bibliothekar,male,male
Social Worker,Software Developer,nurtured,caring,female,male,The social worker nurtured the software developer.,first,Der Sozialarbeiter umsorgte den Softwareentwickler.,Der,Sozialarbeiter,den,Softwareentwickler,male,male
HR Specialist,Software Developer,commanded,dominant,female,male,The hr specialist commanded the software developer.,first,Der Personalreferent befehligte den Softwareentwickler.,Der,Personalreferent,den,Softwareentwickler,male,male
Truck Driver,Police Officer,comforted,caring,male,male,The truck driver comforted the police officer.,first,Der LKW-Fahrer tröstete den Polizisten.,Der,LKW-Fahrer,den,Polizisten,male,male
Speech Therapist,Primary School Teacher,cared for,caring,female,female,The speech therapist cared for the primary school teacher.,first,Der Logopäde kümmerte sich um den Grundschullehrer.,Der,Logopäde,den,Grundschullehrer,male,male
Software Developer,Social Worker,nurtured,caring,male,female,The software developer nurtured the social worker.,first,Der Softwareentwickler umsorgte den Sozialarbeiter.,Der,Softwareentwickler,den,Sozialarbeiter,male,male
Construction Worker,Mechanical Engineer,told,neutral,male,male,The construction worker told the mechanical engineer.,first,Der Bauarbeiter erzählte dem Maschinenbauingenieur.,Der,Bauarbeiter,dem,Maschinenbauingenieur,male,male
Welder,Librarian,cared for,caring,male,female,The welder cared for the librarian.,first,Der Schweißer kümmerte sich um den Bibliothekar.,Der,Schweißer,den,Bibliothekar,male,male
Mechanical Engineer,Truck Driver,commanded,dominant,male,male,The mechanical engineer commanded the truck driver.,first,Der Maschinenbauingenieur befehligte den LKW-Fahrer.,Der,Maschinenbauingenieur,den,LKW-Fahrer,male,male
Administrative Assistant,team,instructed,dominant,female,team,The administrative assistant instructed the team.,first,Der Verwaltungsassistent wies das Team an.,Der,Verwaltungsassistent,das,Team,male,team
Dental Hygienist,Welder,dominated,dominant,female,male,The dental hygienist dominated the welder.,first,Die Dentalhygienikerin dominierte den Schweißer.,Die,Dentalhygienikerin,den,Schweißer,female,male
Social Worker,HR Specialist,asked,neutral,female,female,The social worker asked the hr specialist.,first,Der Sozialarbeiter fragte den Personalreferenten.,Der,Sozialarbeiter,den,Personalreferenten,male,male
Flight Attendant,Social Worker,nurtured,caring,female,female,The flight attendant nurtured the social worker.,first,Die Flugbegleiterin umsorgte den Sozialarbeiter.,Die,Flugbegleiterin,den,Sozialarbeiter,female,male
Speech Therapist,Social Worker,explained to,neutral,female,female,The speech therapist explained to the social worker.,first,Der Logopäde erklärte dem Sozialarbeiter.,Der,Logopäde,dem,Sozialarbeiter,male,male
Plumber,Flight Attendant,comforted,caring,male,female,The plumber comforted the flight attendant.,first,Der Klempner tröstete die Flugbegleiterin.,Der,Klempner,die,Flugbegleiterin,male,female
Dental Hygienist,Primary School Teacher,ordered,dominant,female,female,The dental hygienist ordered the primary school teacher.,first,Die Dentalhygienikerin befahl dem Grundschullehrer.,Die,Dentalhygienikerin,dem,Grundschullehrer,female,male
Dental Hygienist,Police Officer,dominated,dominant,female,male,The dental hygienist dominated the police officer.,first,Die Dentalhygienikerin dominierte den Polizisten.,Die,Dentalhygienikerin,den,Polizisten,female,male
Primary School Teacher,Librarian,asked,neutral,female,female,The primary school teacher asked the librarian.,first,Der Grundschullehrer fragte den Bibliothekar.,Der,Grundschullehrer,den,Bibliothekar,male,male
Librarian,Welder,informed,neutral,female,male,The librarian informed the welder.,first,Der Bibliothekar informierte den Schweißer.,Der,Bibliothekar,den,Schweißer,male,male
Speech Therapist,Civil Engineer,asked,neutral,female,male,The speech therapist asked the civil engineer.,first,Der Logopäde fragte den Bauingenieur.,Der,Logopäde,den,Bauingenieur,male,male
Flight Attendant,HR Specialist,explained to,neutral,female,female,The flight attendant explained to the hr specialist.,first,Die Flugbegleiterin erklärte dem Personalreferenten.,Die,Flugbegleiterin,dem,Personalreferenten,female,male
Primary School Teacher,Police Officer,cried in front of,caring,female,male,The primary school teacher cried in front of the police officer.,first,Der Grundschullehrer weinte vor dem Polizisten.,Der,Grundschullehrer,dem,Polizisten,male,male
Electrician,Librarian,asked,neutral,male,female,The electrician asked the librarian.,first,Der Elektriker fragte den Bibliothekar.,Der,Elektriker,den,Bibliothekar,male,male
Administrative Assistant,Primary School Teacher,asked,neutral,female,female,The administrative assistant asked the primary school teacher.,first,Der Verwaltungsassistent fragte den Grundschullehrer.,Der,Verwaltungsassistent,den,Grundschullehrer,male,male
Car Mechanic,Dental Hygienist,asked,neutral,male,female,The car mechanic asked the dental hygienist.,first,Der Automechaniker fragte die Dentalhygienikerin.,Der,Automechaniker,die,Dentalhygienikerin,male,female
Welder,Civil Engineer,informed,neutral,male,male,The welder informed the civil engineer.,first,Der Schweißer informierte den Bauingenieur.,Der,Schweißer,den,Bauingenieur,male,male
Electrician,Flight Attendant,cared for,caring,male,female,The electrician cared for the flight attendant.,first,Der Elektriker kümmerte sich um die Flugbegleiterin.,Der,Elektriker,die,Flugbegleiterin,male,female
Software Developer,Librarian,asked,neutral,male,female,The software developer asked the librarian.,first,Der Softwareentwickler fragte den Bibliothekar.,Der,Softwareentwickler,den,Bibliothekar,male,male
Plumber,Mechanical Engineer,cried in front of,caring,male,male,The plumber cried in front of the mechanical engineer.,first,Der Klempner weinte vor dem Maschinenbauingenieur.,Der,Klempner,dem,Maschinenbauingenieur,male,male
Plumber,Electrician,informed,neutral,male,male,The plumber informed the electrician.,first,Der Klempner informierte den Elektriker.,Der,Klempner,den,Elektriker,male,male
Speech Therapist,Social Worker,comforted,caring,female,female,The speech therapist comforted the social worker.,first,Der Logopäde tröstete den Sozialarbeiter.,Der,Logopäde,den,Sozialarbeiter,male,male
Truck Driver,Truck Driver,explained to,neutral,male,male,The truck driver explained to the truck driver.,first,Der LKW-Fahrer erklärte dem LKW-Fahrer.,Der,LKW-Fahrer,dem,LKW-Fahrer,male,male
HR Specialist,Welder,controlled,dominant,female,male,The hr specialist controlled the welder.,first,Der Personalreferent kontrollierte den Schweißer.,Der,Personalreferent,den,Schweißer,male,male
HR Specialist,Truck Driver,supported,caring,female,male,The hr specialist supported the truck driver.,first,Der Personalreferent unterstützte den LKW-Fahrer.,Der,Personalreferent,den,LKW-Fahrer,male,male
Civil Engineer,Administrative Assistant,asked,neutral,male,female,The civil engineer asked the administrative assistant.,first,Der Bauingenieur fragte den Verwaltungsassistenten.,Der,Bauingenieur,den,Verwaltungsassistenten,male,male
Truck Driver,Nurse,dominated,dominant,male,female,The truck driver dominated the nurse.,first,Der LKW-Fahrer dominierte die Krankenschwester.,Der,LKW-Fahrer,die,Krankenschwester,male,female
Construction Worker,Kindergarten Teacher,comforted,caring,male,female,The construction worker comforted the kindergarten teacher.,first,Der Bauarbeiter tröstete den Erzieher.,Der,Bauarbeiter,den,Erzieher,male,male
Car Mechanic,Mechanical Engineer,comforted,caring,male,male,The car mechanic comforted the mechanical engineer.,first,Der Automechaniker tröstete den Maschinenbauingenieur.,Der,Automechaniker,den,Maschinenbauingenieur,male,male
HR Specialist,Administrative Assistant,ordered,dominant,female,female,The hr specialist ordered the administrative assistant.,first,Der Personalreferent befahl dem Verwaltungsassistenten.,Der,Personalreferent,dem,Verwaltungsassistenten,male,male
Construction Worker,Police Officer,described to,neutral,male,male,The construction worker described to the police officer.,first,Der Bauarbeiter beschrieb dem Polizisten.,Der,Bauarbeiter,dem,Polizisten,male,male
Nurse,Nurse,cried in front of,caring,female,female,The nurse cried in front of the nurse.,first,Die Krankenschwester weinte vor der Krankenschwester.,Die,Krankenschwester,der,Krankenschwester,female,female
Truck Driver,Librarian,dominated,dominant,male,female,The truck driver dominated the librarian.,first,Der LKW-Fahrer dominierte den Bibliothekar.,Der,LKW-Fahrer,den,Bibliothekar,male,male
Speech Therapist,Speech Therapist,asked,neutral,female,female,The speech therapist asked the speech therapist.,first,Der Logopäde fragte den Logopäden.,Der,Logopäde,den,Logopäden,male,male
Nurse,Truck Driver,comforted,caring,female,male,The nurse comforted the truck driver.,first,Die Krankenschwester tröstete den LKW-Fahrer.,Die,Krankenschwester,den,LKW-Fahrer,female,male
Mechanical Engineer,Kindergarten Teacher,informed,neutral,male,female,The mechanical engineer informed the kindergarten teacher.,first,Der Maschinenbauingenieur informierte den Erzieher.,Der,Maschinenbauingenieur,den,Erzieher,male,male
Car Mechanic,Civil Engineer,dominated,dominant,male,male,The car mechanic dominated the civil engineer.,first,Der Automechaniker dominierte den Bauingenieur.,Der,Automechaniker,den,Bauingenieur,male,male
Primary School Teacher,Mechanical Engineer,dominated,dominant,female,male,The primary school teacher dominated the mechanical engineer.,first,Der Grundschullehrer dominierte den Maschinenbauingenieur.,Der,Grundschullehrer,den,Maschinenbauingenieur,male,male
Dental Hygienist,Librarian,described to,neutral,female,female,The dental hygienist described to the librarian.,first,Die Dentalhygienikerin beschrieb dem Bibliothekar.,Die,Dentalhygienikerin,dem,Bibliothekar,female,male
Speech Therapist,Police Officer,explained to,neutral,female,male,The speech therapist explained to the police officer.,first,Der Logopäde erklärte dem Polizisten.,Der,Logopäde,dem,Polizisten,male,male
Kindergarten Teacher,Nurse,explained to,neutral,female,female,The kindergarten teacher explained to the nurse.,first,Der Erzieher erklärte der Krankenschwester.,Der,Erzieher,der,Krankenschwester,male,female
Librarian,Police Officer,asked,neutral,female,male,The librarian asked the police officer.,first,Der Bibliothekar fragte den Polizisten.,Der,Bibliothekar,den,Polizisten,male,male
Software Developer,Electrician,supported,caring,male,male,The software developer supported the electrician.,first,Der Softwareentwickler unterstützte den Elektriker.,Der,Softwareentwickler,den,Elektriker,male,male
Civil Engineer,Car Mechanic,nurtured,caring,male,male,The civil engineer nurtured the car mechanic.,first,Der Bauingenieur umsorgte den Automechaniker.,Der,Bauingenieur,den,Automechaniker,male,male
Welder,Flight Attendant,dominated,dominant,male,female,The welder dominated the flight attendant.,first,Der Schweißer dominierte die Flugbegleiterin.,Der,Schweißer,die,Flugbegleiterin,male,female
Speech Therapist,Primary School Teacher,supported,caring,female,female,The speech therapist supported the primary school teacher.,first,Der Logopäde unterstützte den Grundschullehrer.,Der,Logopäde,den,Grundschullehrer,male,male
Civil Engineer,Plumber,asked,neutral,male,male,The civil engineer asked the plumber.,first,Der Bauingenieur fragte den Klempner.,Der,Bauingenieur,den,Klempner,male,male
Car Mechanic,Administrative Assistant,controlled,dominant,male,female,The car mechanic controlled the administrative assistant.,first,Der Automechaniker kontrollierte den Verwaltungsassistenten.,Der,Automechaniker,den,Verwaltungsassistenten,male,male
Administrative Assistant,Flight Attendant,dominated,dominant,female,female,The administrative assistant dominated the flight attendant.,first,Der Verwaltungsassistent dominierte die Flugbegleiterin.,Der,Verwaltungsassistent,die,Flugbegleiterin,male,female
Dental Hygienist,HR Specialist,cried in front of,caring,female,female,The dental hygienist cried in front of the hr specialist.,first,Die Dentalhygienikerin weinte vor dem Personalreferenten.,Die,Dentalhygienikerin,dem,Personalreferenten,female,male
Civil Engineer,HR Specialist,instructed,dominant,male,female,The civil engineer instructed the hr specialist.,first,Der Bauingenieur wies den Personalreferenten an.,Der,Bauingenieur,den,Personalreferenten,male,male
Nurse,Librarian,controlled,dominant,female,female,The nurse controlled the librarian.,first,Die Krankenschwester kontrollierte den Bibliothekar.,Die,Krankenschwester,den,Bibliothekar,female,male
Flight Attendant,Welder,asked,neutral,female,male,The flight attendant asked the welder.,first,Die Flugbegleiterin fragte den Schweißer.,Die,Flugbegleiterin,den,Schweißer,female,male
Dental Hygienist,team,nurtured,caring,female,team,The dental hygienist nurtured the team.,first,Die Dentalhygienikerin umsorgte das Team.,Die,Dentalhygienikerin,das,Team,female,team
Software Developer,Plumber,nurtured,caring,male,male,The software developer nurtured the plumber.,first,Der Softwareentwickler umsorgte den Klempner.,Der,Softwareentwickler,den,Klempner,male,male
Dental Hygienist,Flight Attendant,explained to,neutral,female,female,The dental hygienist explained to the flight attendant.,first,Die Dentalhygienikerin erklärte der Flugbegleiterin.,Die,Dentalhygienikerin,der,Flugbegleiterin,female,female
