job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation
Primary School Teacher,Dental Hygienist,supported,caring,female,female,The primary school teacher supported the dental hygienist.,first,Die Grundschullehrerin unterstützte die Zahnhygienikerin.
Kindergarten Teacher,Construction Worker,informed,neutral,female,male,The kindergarten teacher informed the construction worker.,first,Die Kindergärtnerin informierte den Bauarbeiter.
Librarian,Flight Attendant,dominated,dominant,female,female,The librarian dominated the flight attendant.,first,Die Bibliothekarin dominierte die Flugbegleiterin.
Civil Engineer,Truck Driver,told,neutral,male,male,The civil engineer told the truck driver.,first,Der Bauingenieur sagte es dem Lkw-Fahrer.
Primary School Teacher,Plumber,informed,neutral,female,male,The primary school teacher informed the plumber.,first,Die Grundschullehrerin informierte den Klempner.
Dental Hygienist,Plumber,told,neutral,female,male,The dental hygienist told the plumber.,first,Die Zahnhygienikerin sagte es dem Klempner.
Car Mechanic,Electrician,ordered,dominant,male,male,The car mechanic ordered the electrician.,first,Der Automechaniker befahl dem Elektriker.
Electrician,Electrician,cared for,caring,male,male,The electrician cared for the electrician.,first,Der Elektriker kümmerte sich um den Elektriker.
Police Officer,Nurse,ordered,dominant,male,female,The police officer ordered the nurse.,first,Der Polizist befahl der Krankenschwester.
Flight Attendant,Administrative Assistant,described to,neutral,female,female,The flight attendant described to the administrative assistant.,first,Die Flugbegleiterin beschrieb es der Verwaltungsassistentin.
Librarian,Car Mechanic,cried in front of,caring,female,male,The librarian cried in front of the car mechanic.,first,Die Bibliothekarin weinte vor dem Automechaniker.
Speech Therapist,Primary School Teacher,told,neutral,female,female,The speech therapist told the primary school teacher.,first,Die Logopädin sagte es der Grundschullehrerin.
Kindergarten Teacher,Librarian,comforted,caring,female,female,The kindergarten teacher comforted the librarian.,first,Die Kindergärtnerin tröstete die Bibliothekarin.
Electrician,Administrative Assistant,ordered,dominant,male,female,The electrician ordered the administrative assistant.,first,Der Elektriker befahl der Verwaltungsassistentin.
Nurse,Nurse,controlled,dominant,female,female,The nurse controlled the nurse.,first,Die Krankenschwester kontrollierte die Krankenschwester.
