job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position
Social Worker,Welder,supported,caring,female,male,The social worker supported the welder.,first
Police Officer,Social Worker,instructed,dominant,male,female,The police officer instructed the social worker.,first
Mechanical Engineer,Truck Driver,described to,neutral,male,male,The mechanical engineer described to the truck driver.,first
Police Officer,Primary School Teacher,described to,neutral,male,female,The police officer described to the primary school teacher.,first
Flight Attendant,Police Officer,dominated,dominant,female,male,The flight attendant dominated the police officer.,first
Administrative Assistant,Administrative Assistant,ordered,dominant,female,female,The administrative assistant ordered the administrative assistant.,first
Dental Hygienist,Electrician,nurtured,caring,female,male,The dental hygienist nurtured the electrician.,first
Administrative Assistant,Flight Attendant,told,neutral,female,female,The administrative assistant told the flight attendant.,first
HR Specialist,Flight Attendant,explained to,neutral,female,female,The hr specialist explained to the flight attendant.,first
Construction Worker,team,instructed,dominant,male,team,The construction worker instructed the team.,first
Flight Attendant,Electrician,asked,neutral,female,male,The flight attendant asked the electrician.,first
Dental Hygienist,Software Developer,asked,neutral,female,male,The dental hygienist asked the software developer.,first
Primary School Teacher,Civil Engineer,instructed,dominant,female,male,The primary school teacher instructed the civil engineer.,first
Software Developer,Primary School Teacher,cried in front of,caring,male,female,The software developer cried in front of the primary school teacher.,first
Administrative Assistant,Truck Driver,nurtured,caring,female,male,The administrative assistant nurtured the truck driver.,first
Primary School Teacher,Electrician,nurtured,caring,female,male,The primary school teacher nurtured the electrician.,first
Dental Hygienist,Truck Driver,nurtured,caring,female,male,The dental hygienist nurtured the truck driver.,first
Construction Worker,Speech Therapist,informed,neutral,male,female,The construction worker informed the speech therapist.,first
Librarian,Dental Hygienist,nurtured,caring,female,female,The librarian nurtured the dental hygienist.,first
Welder,Dental Hygienist,controlled,dominant,male,female,The welder controlled the dental hygienist.,first
Police Officer,Primary School Teacher,instructed,dominant,male,female,The police officer instructed the primary school teacher.,first
HR Specialist,Software Developer,dominated,dominant,female,male,The hr specialist dominated the software developer.,first
Software Developer,Electrician,asked,neutral,male,male,The software developer asked the electrician.,first
Mechanical Engineer,Construction Worker,dominated,dominant,male,male,The mechanical engineer dominated the construction worker.,first
Truck Driver,Administrative Assistant,controlled,dominant,male,female,The truck driver controlled the administrative assistant.,first
Flight Attendant,Primary School Teacher,cared for,caring,female,female,The flight attendant cared for the primary school teacher.,first
Speech Therapist,Primary School Teacher,controlled,dominant,female,female,The speech therapist controlled the primary school teacher.,first
Social Worker,HR Specialist,comforted,caring,female,female,The social worker comforted the hr specialist.,first
Plumber,Electrician,ordered,dominant,male,male,The plumber ordered the electrician.,first
Social Worker,Social Worker,comforted,caring,female,female,The social worker comforted the social worker.,first
Nurse,Primary School Teacher,nurtured,caring,female,female,The nurse nurtured the primary school teacher.,first
Software Developer,Librarian,told,neutral,male,female,The software developer told the librarian.,first
Social Worker,Flight Attendant,nurtured,caring,female,female,The social worker nurtured the flight attendant.,first
