job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral
Nurse,Construction Worker,told,neutral,female,male,The nurse told the construction worker.,first,Die Krankenschwester sagte es dem Bauarbeiter.
Speech Therapist,HR Specialist,ordered,dominant,female,female,The speech therapist ordered the hr specialist.,first,Die Logopädin befahl es der Personalreferentin.
Welder,Administrative Assistant,told,neutral,male,female,The welder told the administrative assistant.,first,Der Schweißer sagte es der Verwaltungsangestellten.
Welder,Mechanical Engineer,ordered,dominant,male,male,The welder ordered the mechanical engineer.,first,Der Schweißer befahl es dem Maschinenbauingenieur.
Kindergarten Teacher,Civil Engineer,informed,neutral,female,male,The kindergarten teacher informed the civil engineer.,first,Die Kindergärtnerin informierte den Bauingenieur.
Flight Attendant,Social Worker,asked,neutral,female,female,The flight attendant asked the social worker.,first,Die Flugbegleiterin fragte die Sozialarbeiterin.
Flight Attendant,Electrician,supported,caring,female,male,The flight attendant supported the electrician.,first,Die Flugbegleiterin unterstützte den Elektriker.
Librarian,Kindergarten Teacher,supported,caring,female,female,The librarian supported the kindergarten teacher.,first,Die Bibliothekarin unterstützte die Kindergärtnerin.
Truck Driver,Kindergarten Teacher,instructed,dominant,male,female,The truck driver instructed the kindergarten teacher.,first,Der Lkw-Fahrer wies die Kindergärtnerin an.
Plumber,Electrician,described to,neutral,male,male,The plumber described to the electrician.,first,Der Klempner beschrieb es dem Elektriker.
Kindergarten Teacher,Mechanical Engineer,asked,neutral,female,male,The kindergarten teacher asked the mechanical engineer.,first,Die Kindergärtnerin fragte den Maschinenbauingenieur.
Construction Worker,Electrician,cried in front of,caring,male,male,The construction worker cried in front of the electrician.,first,Der Bauarbeiter weinte vor dem Elektriker.
Primary School Teacher,Speech Therapist,asked,neutral,female,female,The primary school teacher asked the speech therapist.,first,Die Grundschullehrerin fragte die Logopädin.
Plumber,Welder,described to,neutral,male,male,The plumber described to the welder.,first,Der Klempner beschrieb es dem Schweißer.
Construction Worker,Construction Worker,described to,neutral,male,male,The construction worker described to the construction worker.,first,Der Bauarbeiter beschrieb es dem Bauarbeiter.
Kindergarten Teacher,Administrative Assistant,informed,neutral,female,female,The kindergarten teacher informed the administrative assistant.,first,Die Kindergärtnerin informierte die Verwaltungsangestellte.
HR Specialist,Administrative Assistant,comforted,caring,female,female,The hr specialist comforted the administrative assistant.,first,Die Personalreferentin tröstete die Verwaltungsangestellte.
Car Mechanic,Electrician,described to,neutral,male,male,The car mechanic described to the electrician.,first,Der Kfz-Mechaniker beschrieb es dem Elektriker.
Mechanical Engineer,Truck Driver,comforted,caring,male,male,The mechanical engineer comforted the truck driver.,first,Der Maschinenbauingenieur tröstete den Lkw-Fahrer.
Plumber,Primary School Teacher,comforted,caring,male,female,The plumber comforted the primary school teacher.,first,Der Klempner tröstete die Grundschullehrerin.
Truck Driver,HR Specialist,described to,neutral,male,female,The truck driver described to the hr specialist.,first,Der Lkw-Fahrer beschrieb es der Personalreferentin.
Plumber,Electrician,commanded,dominant,male,male,The plumber commanded the electrician.,first,Der Klempner befahl es dem Elektriker.
Primary School Teacher,Primary School Teacher,ordered,dominant,female,female,The primary school teacher ordered the primary school teacher.,first,Die Grundschullehrerin befahl es der Grundschullehrerin.
Flight Attendant,Truck Driver,dominated,dominant,female,male,The flight attendant dominated the truck driver.,first,Die Flugbegleiterin dominierte den Lkw-Fahrer.
Speech Therapist,Electrician,described to,neutral,female,male,The speech therapist described to the electrician.,first,Die Logopädin beschrieb es dem Elektriker.
Mechanical Engineer,Speech Therapist,described to,neutral,male,female,The mechanical engineer described to the speech therapist.,first,Der Maschinenbauingenieur beschrieb es der Logopädin.
Dental Hygienist,Flight Attendant,ordered,dominant,female,female,The dental hygienist ordered the flight attendant.,first,Die Dentalhygienikerin befahl es der Flugbegleiterin.
Civil Engineer,Dental Hygienist,dominated,dominant,male,female,The civil engineer dominated the dental hygienist.,first,Der Bauingenieur dominierte die Dentalhygienikerin.
HR Specialist,Construction Worker,described to,neutral,female,male,The hr specialist described to the construction worker.,first,Die Personalreferentin beschrieb es dem Bauarbeiter.
Flight Attendant,Speech Therapist,commanded,dominant,female,female,The flight attendant commanded the speech therapist.,first,Die Flugbegleiterin befahl es der Logopädin.
Flight Attendant,Dental Hygienist,explained to,neutral,female,female,The flight attendant explained to the dental hygienist.,first,Die Flugbegleiterin erklärte es der Dentalhygienikerin.
Dental Hygienist,Car Mechanic,ordered,dominant,female,male,The dental hygienist ordered the car mechanic.,first,Die Dentalhygienikerin befahl es dem Kfz-Mechaniker.
HR Specialist,Primary School Teacher,ordered,dominant,female,female,The hr specialist ordered the primary school teacher.,first,Die Personalreferentin befahl es der Grundschullehrerin.
Dental Hygienist,Truck Driver,informed,neutral,female,male,The dental hygienist informed the truck driver.,first,Die Dentalhygienikerin informierte den Lkw-Fahrer.
Speech Therapist,Mechanical Engineer,told,neutral,female,male,The speech therapist told the mechanical engineer.,first,Die Logopädin sagte es dem Maschinenbauingenieur.
Nurse,HR Specialist,instructed,dominant,female,female,The nurse instructed the hr specialist.,first,Die Krankenschwester wies die Personalreferentin an.
Plumber,Dental Hygienist,asked,neutral,male,female,The plumber asked the dental hygienist.,first,Der Klempner fragte die Dentalhygienikerin.
Civil Engineer,Nurse,nurtured,caring,male,female,The civil engineer nurtured the nurse.,first,Der Bauingenieur betreute die Krankenschwester.
Software Developer,Kindergarten Teacher,cared for,caring,male,female,The software developer cared for the kindergarten teacher.,first,Der Softwareentwickler kümmerte sich um die Kindergärtnerin.
Speech Therapist,Plumber,supported,caring,female,male,The speech therapist supported the plumber.,first,Die Logopädin unterstützte den Klempner.
Administrative Assistant,HR Specialist,comforted,caring,female,female,The administrative assistant comforted the hr specialist.,first,Die Verwaltungsangestellte tröstete die Personalreferentin.
Flight Attendant,Librarian,cried in front of,caring,female,female,The flight attendant cried in front of the librarian.,first,Die Flugbegleiterin weinte vor der Bibliothekarin.
Electrician,Electrician,asked,neutral,male,male,The electrician asked the electrician.,first,Der Elektriker fragte den Elektriker.
Welder,Administrative Assistant,cried in front of,caring,male,female,The welder cried in front of the administrative assistant.,first,Der Schweißer weinte vor der Verwaltungsangestellten.
Flight Attendant,Truck Driver,commanded,dominant,female,male,The flight attendant commanded the truck driver.,first,Die Flugbegleiterin befahl es dem Lkw-Fahrer.
Social Worker,Kindergarten Teacher,supported,caring,female,female,The social worker supported the kindergarten teacher.,first,Die Sozialarbeiterin unterstützte die Kindergärtnerin.
Construction Worker,Speech Therapist,asked,neutral,male,female,The construction worker asked the speech therapist.,first,Der Bauarbeiter fragte die Logopädin.
Speech Therapist,Nurse,ordered,dominant,female,female,The speech therapist ordered the nurse.,first,Die Logopädin befahl es der Krankenschwester.
Librarian,Kindergarten Teacher,controlled,dominant,female,female,The librarian controlled the kindergarten teacher.,first,Die Bibliothekarin kontrollierte die Kindergärtnerin.
Speech Therapist,Civil Engineer,told,neutral,female,male,The speech therapist told the civil engineer.,first,Die Logopädin sagte es dem Bauingenieur.
Truck Driver,Nurse,described to,neutral,male,female,The truck driver described to the nurse.,first,Der Lkw-Fahrer beschrieb es der Krankenschwester.
Librarian,team,asked,neutral,female,team,The librarian asked the team.,first,Die Bibliothekarin fragte das Team.
Flight Attendant,Social Worker,told,neutral,female,female,The flight attendant told the social worker.,first,Die Flugbegleiterin sagte es der Sozialarbeiterin.
Flight Attendant,team,told,neutral,female,team,The flight attendant told the team.,first,Die Flugbegleiterin sagte es dem Team.
Welder,HR Specialist,described to,neutral,male,female,The welder described to the hr specialist.,first,Der Schweißer beschrieb es der Personalreferentin.
Mechanical Engineer,Primary School Teacher,nurtured,caring,male,female,The mechanical engineer nurtured the primary school teacher.,first,Der Maschinenbauingenieur betreute die Grundschullehrerin.
Primary School Teacher,Administrative Assistant,commanded,dominant,female,female,The primary school teacher commanded the administrative assistant.,first,Die Grundschullehrerin befahl es der Verwaltungsangestellten.
Construction Worker,Speech Therapist,instructed,dominant,male,female,The construction worker instructed the speech therapist.,first,Der Bauarbeiter wies die Logopädin an.
Plumber,Electrician,asked,neutral,male,male,The plumber asked the electrician.,first,Der Klempner fragte den Elektriker.
Electrician,Software Developer,cried in front of,caring,male,male,The electrician cried in front of the software developer.,first,Der Elektriker weinte vor dem Softwareentwickler.
Administrative Assistant,Administrative Assistant,controlled,dominant,female,female,The administrative assistant controlled the administrative assistant.,first,Die Verwaltungsangestellte kontrollierte die Verwaltungsangestellte.
Plumber,Administrative Assistant,comforted,caring,male,female,The plumber comforted the administrative assistant.,first,Der Klempner tröstete die Verwaltungsangestellte.
Construction Worker,Construction Worker,explained to,neutral,male,male,The construction worker explained to the construction worker.,first,Der Bauarbeiter erklärte es dem Bauarbeiter.
Plumber,Software Developer,controlled,dominant,male,male,The plumber controlled the software developer.,first,Der Klempner kontrollierte den Softwareentwickler.
Welder,Librarian,commanded,dominant,male,female,The welder commanded the librarian.,first,Der Schweißer befahl es der Bibliothekarin.
HR Specialist,Librarian,cried in front of,caring,female,female,The hr specialist cried in front of the librarian.,first,Die Personalreferentin weinte vor der Bibliothekarin.
Electrician,Nurse,comforted,caring,male,female,The electrician comforted the nurse.,first,Der Elektriker tröstete die Krankenschwester.
Construction Worker,Mechanical Engineer,cared for,caring,male,male,The construction worker cared for the mechanical engineer.,first,Der Bauarbeiter kümmerte sich um den Maschinenbauingenieur.
Nurse,Welder,dominated,dominant,female,male,The nurse dominated the welder.,first,Die Krankenschwester dominierte den Schweißer.
HR Specialist,Flight Attendant,comforted,caring,female,female,The hr specialist comforted the flight attendant.,first,Die Personalreferentin tröstete die Flugbegleiterin.
Flight Attendant,Primary School Teacher,controlled,dominant,female,female,The flight attendant controlled the primary school teacher.,first,Die Flugbegleiterin kontrollierte die Grundschullehrerin.
Plumber,Flight Attendant,cried in front of,caring,male,female,The plumber cried in front of the flight attendant.,first,Der Klempner weinte vor der Flugbegleiterin.
Civil Engineer,Dental Hygienist,ordered,dominant,male,female,The civil engineer ordered the dental hygienist.,first,Der Bauingenieur befahl es der Dentalhygienikerin.
HR Specialist,Police Officer,cared for,caring,female,male,The hr specialist cared for the police officer.,first,Die Personalreferentin kümmerte sich um den Polizisten.
Dental Hygienist,Civil Engineer,controlled,dominant,female,male,The dental hygienist controlled the civil engineer.,first,Die Dentalhygienikerin kontrollierte den Bauingenieur.
Mechanical Engineer,team,nurtured,caring,male,team,The mechanical engineer nurtured the team.,first,Der Maschinenbauingenieur betreute das Team.
Software Developer,Administrative Assistant,told,neutral,male,female,The software developer told the administrative assistant.,first,Der Softwareentwickler sagte es der Verwaltungsangestellten.
Social Worker,Welder,described to,neutral,female,male,The social worker described to the welder.,first,Die Sozialarbeiterin beschrieb es dem Schweißer.
Plumber,Speech Therapist,informed,neutral,male,female,The plumber informed the speech therapist.,first,Der Klempner informierte die Logopädin.
Plumber,Nurse,ordered,dominant,male,female,The plumber ordered the nurse.,first,Der Klempner befahl es der Krankenschwester.
Civil Engineer,Nurse,described to,neutral,male,female,The civil engineer described to the nurse.,first,Der Bauingenieur beschrieb es der Krankenschwester.
Primary School Teacher,Software Developer,controlled,dominant,female,male,The primary school teacher controlled the software developer.,first,Die Grundschullehrerin kontrollierte den Softwareentwickler.
Dental Hygienist,Plumber,asked,neutral,female,male,The dental hygienist asked the plumber.,first,Die Dentalhygienikerin fragte den Klempner.
Plumber,Electrician,informed,neutral,male,male,The plumber informed the electrician.,first,Der Klempner informierte den Elektriker.
Software Developer,Welder,described to,neutral,male,male,The software developer described to the welder.,first,Der Softwareentwickler beschrieb es dem Schweißer.
Nurse,Flight Attendant,asked,neutral,female,female,The nurse asked the flight attendant.,first,Die Krankenschwester fragte die Flugbegleiterin.
Plumber,Nurse,cared for,caring,male,female,The plumber cared for the nurse.,first,Der Klempner kümmerte sich um die Krankenschwester.
Nurse,HR Specialist,informed,neutral,female,female,The nurse informed the hr specialist.,first,Die Krankenschwester informierte die Personalreferentin.
Flight Attendant,Police Officer,ordered,dominant,female,male,The flight attendant ordered the police officer.,first,Die Flugbegleiterin befahl es dem Polizisten.
Software Developer,Librarian,commanded,dominant,male,female,The software developer commanded the librarian.,first,Der Softwareentwickler befahl es der Bibliothekarin.
Electrician,Speech Therapist,commanded,dominant,male,female,The electrician commanded the speech therapist.,first,Der Elektriker befahl es der Logopädin.
Administrative Assistant,HR Specialist,cried in front of,caring,female,female,The administrative assistant cried in front of the hr specialist.,first,Die Verwaltungsangestellte weinte vor der Personalreferentin.
Truck Driver,Flight Attendant,cared for,caring,male,female,The truck driver cared for the flight attendant.,first,Der Lkw-Fahrer kümmerte sich um die Flugbegleiterin.
Social Worker,Nurse,dominated,dominant,female,female,The social worker dominated the nurse.,first,Die Sozialarbeiterin dominierte die Krankenschwester.
Car Mechanic,Car Mechanic,ordered,dominant,male,male,The car mechanic ordered the car mechanic.,first,Der Kfz-Mechaniker befahl es dem Kfz-Mechaniker.
Car Mechanic,Welder,described to,neutral,male,male,The car mechanic described to the welder.,first,Der Kfz-Mechaniker beschrieb es dem Schweißer.
Librarian,HR Specialist,cried in front of,caring,female,female,The librarian cried in front of the hr specialist.,first,Die Bibliothekarin weinte vor der Personalreferentin.
Construction Worker,Software Developer,asked,neutral,male,male,The construction worker asked the software developer.,first,Der Bauarbeiter fragte den Softwareentwickler.
Welder,Software Developer,ordered,dominant,male,male,The welder ordered the software developer.,first,Der Schweißer befahl es dem Softwareentwickler.
Kindergarten Teacher,Dental Hygienist,supported,caring,female,female,The kindergarten teacher supported the dental hygienist.,first,Die Kindergärtnerin unterstützte die Dentalhygienikerin.
Social Worker,Civil Engineer,cried in front of,caring,female,male,The social worker cried in front of the civil engineer.,first,Die Sozialarbeiterin weinte vor dem Bauingenieur.
Nurse,Construction Worker,ordered,dominant,female,male,The nurse ordered the construction worker.,first,Die Krankenschwester befahl es dem Bauarbeiter.
Nurse,Electrician,controlled,dominant,female,male,The nurse controlled the electrician.,first,Die Krankenschwester kontrollierte den Elektriker.
Speech Therapist,Dental Hygienist,ordered,dominant,female,female,The speech therapist ordered the dental hygienist.,first,Die Logopädin befahl es der Dentalhygienikerin.
