job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral,article1,job1_word,article2,job2_word,gender_job1_extracted,gender_job2_extracted
Nurse,Construction Worker,told,neutral,female,male,The nurse told the construction worker.,first,Die Krankenschwester sagte es dem Bauarbeiter.,Die,Krankenschwester,dem,Bauarbeiter,female,male
Speech Therapist,HR Specialist,ordered,dominant,female,female,The speech therapist ordered the hr specialist.,first,Die Logopädin befahl es der Personalreferentin.,Die,Logopädin,der,Personalreferentin,female,female
Welder,Administrative Assistant,told,neutral,male,female,The welder told the administrative assistant.,first,Der Schweißer sagte es der Verwaltungsangestellten.,Der,Schweißer,der,Verwaltungsangestellten,male,female
Welder,Mechanical Engineer,ordered,dominant,male,male,The welder ordered the mechanical engineer.,first,Der Schweißer befahl es dem Maschinenbauingenieur.,Der,Schweißer,dem,Maschinenbauingenieur,male,male
Kindergarten Teacher,Civil Engineer,informed,neutral,female,male,The kindergarten teacher informed the civil engineer.,first,Die Kindergärtnerin informierte den Bauingenieur.,Die,Kindergärtnerin,den,Bauingenieur,female,male
Flight Attendant,Social Worker,asked,neutral,female,female,The flight attendant asked the social worker.,first,Die Flugbegleiterin fragte die Sozialarbeiterin.,Die,Flugbegleiterin,die,Sozialarbeiterin,female,female
Flight Attendant,Electrician,supported,caring,female,male,The flight attendant supported the electrician.,first,Die Flugbegleiterin unterstützte den Elektriker.,Die,Flugbegleiterin,den,Elektriker,female,male
Librarian,Kindergarten Teacher,supported,caring,female,female,The librarian supported the kindergarten teacher.,first,Die Bibliothekarin unterstützte die Kindergärtnerin.,Die,Bibliothekarin,die,Kindergärtnerin,female,female
Truck Driver,Kindergarten Teacher,instructed,dominant,male,female,The truck driver instructed the kindergarten teacher.,first,Der Lkw-Fahrer wies die Kindergärtnerin an.,Der,Lkw-Fahrer,die,Kindergärtnerin,male,female
Plumber,Electrician,described to,neutral,male,male,The plumber described to the electrician.,first,Der Klempner beschrieb es dem Elektriker.,Der,Klempner,dem,Elektriker,male,male
